age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,coffee_per_day,breaks_per_day,night_usage,distraction_score,addiction_level,productivity_score
21,5.95,2.81,2.61,7.377324511,290.2547416,,2,1,0,7.852,Medium,29.58783357
34,3.82,2.33,0.28,7.612688686,270.571074,93.65,1,3,0,7.146,Medium,17.32066523
29,3.57,1.64,5.21,6.14329788,134.0542188,100,0,5,0,2.962,Low,75.18397969
25,10.27,4.37,4.28,4.012145061,233.0198335,94.71,2,2,1,8.791,Medium,31.1331609
22,2.42,1.6,3.67,6.953253459,19.38179085,100,0,3,0,0.669,Low,54.64067622
35,6.19,2.19,7.26,4.087177238,218.4635439,100,3,7,1,5.277,Medium,63.58149311
21,3.68,1.23,1.34,7.418676363,314.3990216,100,1,4,0,7.358,Low,31.44634113
33,10.79,5.65,0.08,7.547758674,148.4820584,,0,2,1,8.331,High,5.809432728
37,7.57,5.54,0.59,8.513274869,107.2767234,94.43,0,,1,5.228,High,5.33756583
25,,2.73,1.79,5.000010608,31.72158807,100,3,3,0,2.038,Medium,44.34160683
25,7.02,3.89,0.27,6.054330912,188.0112038,93.1,1,3,1,7.249,,-3.02738962
38,9.31,5.95,4.02,5.901552553,261.5871344,88.88,0,4,1,8.729,High,22.16619191
35,11.58,6.01,2.51,8.529390563,81.53294874,100,0,4,1,7.177,High,12.48840254
18,4.2,3.62,1.44,6.198726299,104.4785605,100,0,4,0,3.708,Medium,5.420215478
22,10.86,3.62,6,4.658832381,32.15046365,100,2,8,1,4.11,Medium,57.78245906
38,11.34,7.98,1.64,6.936100539,79.57927659,77.17,1,4,1,6.338,,2.322019206
17,11.16,9.32,5.5,7.234007488,88.20890467,99.17,1,9,1,5.81,High,22.15719681
36,8.35,6.53,2.79,7.276601627,93.36230388,,2,2,1,5.738,High,1.516262499
35,8.3,3.41,4.09,7.726833399,150.3840378,100,0,4,1,6.123,Medium,33.93174521
16,6.03,2.88,7.47,5.190898146,117.5222844,100,3,6,1,3.014,Medium,64.9555959
38,9.52,6.95,0.3,8.933780889,145.1012611,84.05,0,4,1,7.43,High,0.323348111
26,7.31,2.56,4,4.290175259,133.1174186,100,4,2,1,5.015,Medium,52.65465668
20,8.77,6.9,6.84,9.439569288,70.16429647,100,1,6,1,3.573,High,73.02449276
16,6.28,4.59,4.7,8.426227299,163.2670298,,2,4,1,4.83,Medium,51.50481036
,9.31,6.87,2.21,6.887838613,238.1674654,89.12,1,3,1,8.712,High,4.730280642
15,10.24,3.69,3.18,7.780228656,173.9030552,100,,3,1,7.666,Medium,28.61427362
26,3.46,2.53,5.44,4.154597988,11.41346347,100,4,7,0,1.258,Medium,29.19198738
36,10.33,7.31,7.13,3.690091033,40.2298215,89.04,2,9,1,3.926,High,18.74682002
26,7.4,5.91,0.33,4.712118678,74.91254788,90.6,2,2,1,4.621,High,-2.707917997
39,10.45,3.4,0.57,4.063292543,52.77299099,92.02,3,4,1,6.354,Medium,12.92235201
,6.31,1.98,2.6,6.887897574,168.2583434,100,,2,1,5.875,Low,17.04116288
24,5.79,3.03,1.86,4.950956303,282.4993414,99.09,3,2,0,7.597,Medium,21.13426611
30,11.15,4.34,2.12,8.543189049,73.7007114,100,0,3,1,6.019,Medium,15.10094293
29,4.51,2.86,1.77,6.144798783,302.7887362,89.63,1,1,0,7.664,Medium,24.35957161
29,10.44,8.88,1.57,8.310950059,260.4042759,76.18,2,3,1,9.969,High,-0.548587639
33,6.84,3.66,1.04,7.570752882,255.0582042,91.37,0,4,1,8.668,Medium,2.73347285
26,7.14,,7.47,6.240161011,72.90053548,100,3,7,1,2.629,High,62.14422912
37,5.08,1.52,1.15,,249.8038632,99.26,2,3,0,7.315,Low,24.97339856
34,7.73,3.1,1.64,,29.22310594,,2,3,1,3.913,Medium,9.213697092
39,,1.67,1.97,7.217998575,308.3930335,100,1,2,0,,Low,38.23089301
17,3.585,1.19,7.46,7.489392214,578.1048869,,,9,0,4.757,Low,90.01856326
19,4.72,3.99,6.05,5.184055393,51.69011218,100,2,8,0,,Medium,37.58976447
33,2.06,0.74,6.32,,236.5365249,100,,6,0,4.274,Low,92.34831728
21,11.78,7.82,0.84,4.575853707,202.3442252,72.24,4,2,1,9.358,High,0.861193536
35,,6.66,6.69,7.537917406,88.44489557,100,2,7,1,5.723,High,52.22387832
23,5.95,5.14,3.27,5.768112309,164.8234237,87.86,1,3,0,5.514,High,23.05059449
21,9.28,3.47,,7.459193215,234.3382796,100,0,4,1,,Medium,32.33065848
32,5.46,2.33,4.61,8.189544099,283.3395458,100,1,4,0,6.407,Medium,52.74322529
18,8.71,,6.58,7.196106101,262.6925228,100,1,7,1,7.401,Medium,53.24079208
39,10.05,5.63,6.23,5.758822331,251.4533001,100,2,6,1,7.776,High,27.06650954
28,11.47,5.35,7.12,5.328116427,167.6653558,100,3,8,1,7.059,High,57.74357363
32,6,4.93,7.43,8.484237314,231.4129446,100,1,5,0,5.411,Medium,74.74118616
23,9.83,6.52,1.9,6.233620356,87.13248425,83.51,0,1,1,6.465,High,14.86144777
35,4.66,3.11,3.39,3.852449517,51.79260973,100,3,4,0,2.053,Medium,28.09844182
16,11.9,7.37,0.12,8.035145342,208.9339358,71.21,1,3,1,10.114,High,-3.164315365
