Date,Passengers
2020-01-01,112
2020-02-01,118
2020-03-01,132
2020-04-01,129
2020-05-01,121
2020-06-01,135
2020-07-01,148
2020-08-01,148
2020-09-01,136
2020-10-01,119
2020-11-01,104
2020-12-01,118
2021-01-01,115
2021-02-01,126
2021-03-01,141
2021-04-01,135
2021-05-01,125
2021-06-01,149
2021-07-01,170
2021-08-01,170
2021-09-01,158
2021-10-01,133
2021-11-01,114
2021-12-01,140
2022-01-01,145
2022-02-01,150
2022-03-01,178
2022-04-01,163
2022-05-01,172
2022-06-01,178
2022-07-01,199
2022-08-01,199
2022-09-01,184
2022-10-01,162
2022-11-01,146
2022-12-01,166
